#    L    TT             EE             TE
   395    0.16922E+04    0.21202E+02    0.94025E+01
   396    0.16859E+04    0.21200E+02    0.75061E+01
   397    0.16799E+04    0.21195E+02    0.56152E+01
   398    0.16744E+04    0.21186E+02    0.37310E+01
   399    0.16692E+04    0.21172E+02    0.18545E+01
   400    0.16644E+04    0.21156E+02   -0.13420E-01
   401    0.16601E+04    0.21134E+02   -0.18723E+01
   402    0.16562E+04    0.21109E+02   -0.37211E+01
   403    0.16527E+04    0.21081E+02   -0.55593E+01
   404    0.16495E+04    0.21048E+02   -0.73853E+01
   405    0.16468E+04    0.21011E+02   -0.92000E+01
   406    0.16444E+04    0.20970E+02   -0.11001E+02
   407    0.16425E+04    0.20926E+02   -0.12790E+02
   408    0.16409E+04    0.20878E+02   -0.14563E+02
   409    0.16397E+04    0.20827E+02   -0.16321E+02
   410    0.16389E+04    0.20771E+02   -0.18064E+02
   411    0.16385E+04    0.20712E+02   -0.19790E+02
   412    0.16383E+04    0.20649E+02   -0.21499E+02
   413    0.16386E+04    0.20582E+02   -0.23191E+02
   414    0.16392E+04    0.20512E+02   -0.24864E+02
   415    0.16402E+04    0.20439E+02   -0.26517E+02
   416    0.16415E+04    0.20362E+02   -0.28152E+02
   417    0.16431E+04    0.20282E+02   -0.29766E+02
   418    0.16451E+04    0.20196E+02   -0.31359E+02
   419    0.16474E+04    0.20108E+02   -0.32930E+02
   420    0.16501E+04    0.20018E+02   -0.34479E+02
   421    0.16531E+04    0.19924E+02   -0.36005E+02
   422    0.16564E+04    0.19826E+02   -0.37508E+02
   423    0.16599E+04    0.19724E+02   -0.38987E+02
   424    0.16638E+04    0.19619E+02   -0.40442E+02
   425    0.16680E+04    0.19511E+02   -0.41871E+02
   426    0.16725E+04    0.19400E+02   -0.43274E+02
   427    0.16772E+04    0.19286E+02   -0.44653E+02
   428    0.16823E+04    0.19169E+02   -0.46003E+02
   429    0.16875E+04    0.19049E+02   -0.47327E+02
   430    0.16932E+04    0.18927E+02   -0.48624E+02
   431    0.16990E+04    0.18801E+02   -0.49892E+02
   432    0.17050E+04    0.18671E+02   -0.51133E+02
   433    0.17114E+04    0.18541E+02   -0.52343E+02
   434    0.17180E+04    0.18407E+02   -0.53526E+02
   435    0.17247E+04    0.18271E+02   -0.54678E+02
